game_number	player_bankrupt	turn
829	Charly	44
830	Charly	33
830	Bob	34
830	Hero	54
831	Hero	37
831	Charly	43
831	Bob	51
832	Bob	57
832	Alice	59
832	Hero	63
833	Bob	42
833	Hero	42
833	Alice	44
835	Bob	46
835	Alice	53
835	Charly	62
838	Hero	50
838	Alice	50
838	Bob	53
839	Alice	43
839	Charly	46
839	Bob	54
840	Charly	28
840	Alice	35
840	Hero	46
842	Bob	29
842	Alice	42
842	Hero	43
844	Charly	35
844	Hero	40
844	Bob	43
843	Charly	34
843	Alice	38
843	Hero	39
846	Bob	50
846	Alice	71
846	Charly	123
834	Charly	450
834	Bob	481
847	Charly	27
847	Alice	42
847	Bob	43
848	Hero	38
848	Bob	42
848	Alice	77
841	Bob	69
853	Bob	34
853	Charly	39
853	Hero	56
852	Hero	37
852	Alice	41
852	Bob	59
854	Charly	40
854	Hero	41
854	Bob	45
856	Alice	47
856	Charly	49
856	Bob	74
857	Hero	98
857	Alice	104
857	Charly	116
858	Bob	63
858	Charly	71
858	Hero	107
859	Charly	40
859	Alice	51
859	Hero	59
862	Alice	35
862	Bob	38
862	Hero	54
863	Alice	65
863	Hero	72
863	Bob	77
865	Alice	46
865	Hero	61
865	Bob	68
869	Bob	42
869	Hero	45
869	Charly	46
873	Hero	43
873	Charly	44
873	Bob	52
871	Hero	65
871	Charly	158
871	Bob	176
872	Charly	93
872	Hero	104
872	Bob	111
874	Hero	35
874	Bob	38
874	Charly	41
875	Charly	31
875	Hero	45
875	Bob	64
878	Alice	56
878	Charly	79
878	Bob	85
882	Alice	31
882	Hero	32
882	Bob	33
886	Hero	33
886	Charly	34
886	Alice	70
885	Alice	118
885	Hero	121
885	Bob	148
887	Alice	36
887	Bob	36
887	Hero	79
888	Bob	21
888	Charly	51
888	Hero	63
889	Alice	34
889	Hero	58
889	Charly	61
890	Charly	46
890	Bob	51
890	Alice	61
891	Bob	56
891	Alice	62
891	Charly	66
894	Hero	17
894	Charly	23
894	Alice	31
893	Alice	23
893	Bob	26
893	Hero	36
892	Alice	39
892	Bob	45
892	Hero	59
896	Charly	41
896	Bob	43
896	Hero	66
883	Hero	503
883	Bob	516
883	Charly	530
897	Alice	83
897	Charly	87
897	Hero	94
895	Charly	67
895	Bob	75
895	Hero	82
899	Charly	42
899	Alice	44
899	Bob	71
902	Charly	28
902	Alice	29
902	Hero	42
903	Charly	65
903	Hero	68
903	Bob	72
905	Bob	70
905	Charly	90
905	Hero	93
907	Alice	29
907	Charly	31
907	Bob	32
908	Charly	49
908	Bob	50
908	Alice	61
909	Bob	58
909	Charly	64
909	Hero	68
901	Alice	51
901	Bob	517
901	Hero	563
914	Alice	37
914	Hero	49
914	Charly	58
915	Bob	29
915	Hero	34
915	Charly	35
916	Bob	43
916	Alice	54
916	Hero	61
917	Charly	40
917	Hero	44
917	Alice	54
913	Bob	106
913	Alice	131
913	Hero	219
918	Charly	43
918	Hero	49
918	Bob	49
920	Hero	46
920	Alice	76
920	Bob	79
921	Alice	28
921	Bob	38
921	Hero	40
922	Alice	36
922	Hero	44
922	Bob	45
923	Charly	37
923	Alice	37
923	Hero	56
924	Charly	62
924	Alice	62
924	Bob	74
925	Charly	25
925	Bob	33
925	Hero	40
926	Charly	40
926	Hero	44
926	Bob	48
912	Alice	425
912	Bob	446
912	Hero	457
928	Charly	57
928	Hero	61
928	Alice	69
932	Bob	27
932	Charly	37
932	Hero	63
929	Hero	33
929	Charly	56
929	Bob	59
931	Hero	81
931	Alice	83
931	Charly	101
934	Bob	31
934	Alice	33
934	Hero	36
933	Hero	60
933	Charly	66
933	Bob	72
935	Bob	49
935	Alice	51
935	Charly	55
936	Charly	63
936	Alice	87
936	Bob	88
939	Alice	66
939	Hero	68
939	Bob	75
940	Bob	25
940	Charly	55
940	Hero	69
941	Hero	40
941	Bob	43
941	Charly	51
944	Bob	80
944	Alice	86
944	Charly	90
946	Hero	51
946	Bob	56
946	Charly	61
947	Charly	97
947	Hero	112
947	Alice	115
948	Hero	64
948	Alice	72
948	Bob	74
950	Charly	21
950	Hero	28
950	Alice	35
951	Hero	26
951	Bob	40
951	Alice	42
953	Bob	40
953	Charly	43
953	Alice	50
954	Bob	35
954	Charly	36
954	Hero	49
952	Charly	113
952	Hero	171
952	Bob	174
957	Hero	42
957	Alice	46
957	Bob	47
955	Charly	18
955	Bob	19
955	Hero	54
959	Charly	29
959	Bob	39
959	Hero	44
960	Alice	24
960	Charly	30
960	Bob	36
961	Alice	53
961	Charly	63
961	Bob	65
963	Bob	33
963	Alice	38
963	Charly	46
958	Hero	84
958	Charly	113
958	Alice	201
964	Alice	40
964	Bob	43
964	Hero	47
966	Alice	78
966	Hero	99
966	Bob	126
968	Bob	25
968	Charly	30
968	Hero	35
967	Charly	176
967	Bob	181
967	Alice	185
970	Hero	41
970	Charly	50
970	Alice	78
969	Alice	57
969	Bob	120
969	Charly	135
974	Charly	41
974	Alice	42
974	Bob	50
972	Bob	106
972	Hero	122
972	Charly	153
976	Charly	35
976	Alice	43
976	Hero	48
975	Charly	50
975	Bob	58
975	Hero	73
979	Charly	33
979	Hero	40
979	Alice	46
981	Bob	24
981	Alice	30
981	Charly	34
980	Hero	35
980	Charly	39
980	Bob	45
982	Bob	39
982	Alice	40
982	Charly	51
984	Alice	70
984	Bob	97
984	Charly	139
985	Hero	43
985	Charly	67
985	Bob	83
988	Charly	39
988	Hero	47
988	Bob	49
989	Bob	46
989	Alice	47
989	Hero	58
987	Alice	43
987	Hero	54
987	Charly	74
986	Alice	75
986	Hero	132
990	Alice	38
990	Charly	48
990	Hero	58
992	Bob	47
992	Charly	53
992	Hero	56
993	Hero	29
993	Alice	37
993	Charly	54
994	Charly	30
994	Hero	35
994	Bob	56
995	Bob	43
995	Charly	47
995	Alice	58
997	Bob	52
997	Hero	57
997	Charly	59
998	Bob	42
998	Hero	44
998	Alice	45
999	Bob	40
999	Charly	55
999	Alice	58
1000	Bob	38
1000	Hero	50
1000	Alice	56
