game_number	player_bankrupt	turn
204	Hero	46
205	Hero	45
205	Bob	47
205	Alice	52
208	Bob	37
208	Hero	43
208	Charly	52
206	Charly	103
206	Hero	107
206	Alice	112
209	Alice	34
209	Charly	43
209	Hero	61
210	Alice	26
210	Charly	32
210	Bob	33
213	Alice	34
213	Hero	36
213	Charly	59
207	Bob	141
207	Hero	145
207	Charly	151
212	Charly	66
212	Bob	76
212	Hero	82
214	Alice	33
214	Charly	46
214	Hero	64
215	Hero	34
215	Bob	37
215	Alice	60
218	Hero	43
218	Bob	43
218	Charly	50
217	Bob	59
217	Hero	60
217	Charly	69
216	Alice	25
216	Hero	48
216	Charly	59
219	Bob	48
219	Alice	57
219	Hero	67
221	Alice	42
221	Bob	52
221	Charly	72
220	Hero	15
220	Alice	36
220	Bob	79
222	Bob	50
222	Charly	64
222	Alice	65
225	Bob	41
225	Hero	41
225	Charly	46
226	Alice	14
226	Charly	15
226	Hero	58
228	Bob	29
228	Hero	39
228	Alice	48
227	Alice	60
227	Bob	64
227	Hero	70
231	Hero	39
231	Charly	39
231	Bob	47
232	Hero	33
232	Alice	35
232	Charly	47
230	Charly	38
230	Hero	58
230	Alice	75
233	Bob	33
233	Alice	35
233	Charly	51
235	Charly	45
235	Alice	57
235	Hero	59
237	Alice	27
237	Hero	29
237	Bob	41
238	Charly	54
238	Hero	56
238	Bob	65
239	Hero	45
239	Alice	62
239	Bob	91
242	Bob	25
242	Charly	41
242	Hero	44
243	Hero	30
243	Charly	33
245	Hero	54
245	Bob	56
245	Alice	78
248	Alice	26
248	Charly	29
248	Hero	31
250	Charly	37
250	Alice	38
250	Hero	42
251	Alice	35
251	Bob	48
251	Hero	53
253	Bob	44
253	Alice	50
253	Charly	52
254	Bob	49
254	Charly	55
254	Alice	57
255	Bob	45
255	Charly	48
255	Alice	60
258	Charly	43
258	Alice	62
258	Bob	73
259	Hero	35
259	Alice	40
259	Charly	40
261	Charly	50
261	Bob	65
261	Alice	70

262	Charly	47
262	Hero	64
262	Alice	69
265	Hero	16
265	Bob	26
265	Alice	37
266	Hero	56
266	Bob	61
266	Charly	87
269	Charly	50
269	Bob	60
269	Hero	71
268	Hero	45
268	Bob	51
268	Charly	53
270	Charly	63
270	Bob	73
270	Alice	90
273	Bob	60
273	Hero	86
273	Alice	99
274	Charly	34
274	Hero	45
274	Alice	54
277	Alice	63
277	Hero	68
277	Charly	79
280	Charly	39
280	Bob	52
280	Hero	61
282	Hero	37
282	Charly	47
282	Bob	56
275	Charly	315
285	Charly	27
285	Bob	31
285	Alice	37
286	Alice	43
286	Hero	49
286	Charly	51
287	Bob	36
287	Alice	41
287	Charly	72
288	Charly	32
288	Bob	44
288	Alice	55
290	Bob	35
290	Hero	37
290	Alice	44
289	Charly	46
289	Hero	54
289	Bob	62
294	Alice	57
294	Hero	61
294	Charly	64
291	Bob	41
291	Alice	44
291	Hero	77
293	Bob	46
293	Hero	47
293	Alice	55
292	Bob	38
292	Hero	95
292	Alice	101
298	Alice	48
298	Bob	49
298	Hero	57
296	Hero	40
296	Alice	41
296	Bob	50
299	Charly	59
299	Alice	68
299	Hero	70
300	Alice	33
300	Bob	47
300	Charly	55
302	Charly	32
302	Alice	34
302	Hero	38
303	Alice	18
303	Hero	25
303	Charly	28
305	Charly	19
305	Alice	24
305	Bob	53
306	Bob	44
306	Alice	48
306	Hero	48
308	Hero	29
308	Charly	31
308	Alice	34
310	Bob	57
310	Alice	64
310	Hero	90
311	Alice	67
311	Bob	68
311	Charly	81
312	Charly	44
312	Alice	56
312	Hero	68
313	Charly	45
313	Bob	48
313	Alice	80
314	Bob	40
314	Alice	43
314	Hero	46
316	Alice	55
316	Bob	64
316	Charly	67
317	Hero	35
317	Charly	47
317	Alice	70
320	Charly	17
320	Bob	21
320	Alice	28
319	Bob	26
319	Hero	45
319	Charly	62
322	Alice	44
322	Bob	60
322	Charly	71
315	Alice	281
325	Alice	39
325	Hero	41
325	Charly	49
324	Bob	42
324	Alice	63
324	Hero	88
327	Charly	33
327	Alice	66
327	Hero	67
326	Alice	57
326	Bob	69
326	Hero	81
330	Hero	27
330	Bob	30
330	Charly	30
332	Hero	23
332	Charly	28
332	Bob	31
334	Hero	33
334	Alice	47
334	Charly	67
333	Bob	32
333	Hero	45
333	Alice	50
336	Alice	52
336	Bob	58
336	Charly	58
337	Charly	45
337	Hero	55
337	Alice	90
340	Alice	17
340	Hero	29
340	Bob	29
339	Bob	40
339	Charly	43
339	Alice	48
342	Charly	54
342	Alice	58
342	Bob	61
341	Charly	60
341	Hero	78
341	Alice	154
344	Hero	35
344	Alice	39
344	Charly	40
343	Bob	28
343	Charly	31
343	Hero	38
347	Alice	52
347	Hero	57
347	Charly	62
350	Alice	33
350	Bob	41
350	Charly	44
351	Hero	52
351	Alice	69
351	Charly	70
352	Alice	37
352	Bob	47
352	Hero	48
353	Bob	43
353	Hero	59
353	Alice	62
354	Charly	52
354	Hero	62
354	Alice	68
356	Hero	53
356	Charly	56
356	Bob	61
358	Alice	47
358	Charly	52
358	Hero	65
359	Bob	31
359	Alice	33
359	Charly	47
361	Charly	42
361	Hero	44
361	Bob	53
363	Bob	35
363	Hero	38
363	Charly	41
365	Alice	73
365	Bob	86
365	Hero	111
366	Bob	19
366	Alice	41
366	Hero	43
368	Bob	35
368	Charly	54
368	Alice	55
369	Hero	32
369	Bob	44
369	Charly	62
372	Charly	52
372	Alice	61
372	Bob	70
373	Alice	31
373	Charly	32
373	Hero	35
374	Charly	12
374	Hero	14
374	Bob	16
370	Bob	95
370	Charly	106
370	Hero	122
376	Alice	37
376	Charly	63
376	Bob	75
377	Hero	45
377	Alice	59
377	Bob	68
378	Alice	47
378	Hero	66
378	Bob	68
380	Charly	43
380	Bob	43
380	Hero	54
382	Bob	27
382	Charly	33
382	Alice	42
384	Charly	38
384	Hero	47
384	Bob	124
385	Hero	57
385	Charly	59
385	Alice	80
386	Charly	30
386	Hero	34
386	Bob	67
387	Bob	38
387	Alice	38
387	Charly	38
389	Hero	52
389	Charly	54
389	Alice	63
390	Charly	38
390	Alice	41
390	Hero	46
392	Alice	49
392	Bob	55
392	Charly	58
395	Alice	70
395	Charly	71
395	Hero	81
396	Hero	37
396	Alice	41
396	Bob	44
397	Bob	17
397	Charly	17
397	Hero	26
398	Hero	16
398	Bob	19
398	Alice	30
399	Hero	27
399	Bob	53
399	Charly	63
400	Charly	36
400	Hero	42
400	Alice	51
401	Bob	33
401	Hero	45
401	Alice	53
402	Bob	21
402	Alice	27
402	Charly	32
403	Hero	35
403	Charly	42
403	Alice	48
406	Bob	32
406	Alice	34
406	Charly	35
405	Hero	45
405	Bob	69
405	Alice	81
407	Charly	27
407	Hero	39
407	Alice	63
409	Alice	26
409	Hero	31
409	Bob	52
410	Bob	50
410	Hero	57
410	Charly	58
413	Alice	36
413	Hero	44
413	Bob	44
411	Bob	47
411	Alice	49
411	Hero	85
414	Hero	52
414	Bob	72
414	Alice	73
416	Hero	50
416	Charly	61
416	Alice	66
418	Hero	25
418	Bob	27
418	Charly	44
420	Alice	53
420	Charly	56
420	Bob	59
419	Hero	47
419	Charly	53
419	Bob	60
422	Alice	46
422	Charly	50
422	Hero	58
424	Alice	33
424	Charly	37
424	Hero	56
423	Hero	93
423	Alice	97
423	Bob	146
425	Alice	44
425	Hero	57
425	Charly	76
426	Bob	32
426	Alice	50
426	Hero	58
429	Charly	49
429	Alice	62
429	Hero	71
428	Alice	61
428	Hero	69
428	Bob	119
430	Bob	59
430	Alice	78
430	Hero	90
